20977|2364|2|34|4A3U|N|N|1218|Q_APPR|6|4|1056|53137|2021-05-16 04:08:00|5000|5000|1351.09|2021-05-21 00:00:00||2021-05-24 00:00:00||2021-05-16 04:12:00|2021-05-17 09:17:00|2021-05-17 09:17:00|Fur Salon-WuZhen|Fur Salon-WuZhen ( Summer/Tony/Harry/Frida)|4637|4638|4799|4800|4746|N|||||||||||||||2021-05-16 04:12:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-07 04:10:00|N|0|||||||TRAVEL|N||||N
20978|4588|2|34|4A3V|N|N|1218|Q_APPR|6|4|1056|53141|2021-05-16 04:19:00|9004|9004|6029.32|2021-05-20 00:00:00||2021-05-22 00:00:00||2021-05-16 05:30:00|2021-05-17 09:15:00|2021-05-17 09:15:00|FurSalon-WuZhen-Adaн3ннн|fur salonн3нннADA|4637|4638|4771|4772|4746|N|||||||||||||||2021-05-16 04:24:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-21 07:01:00|N|1|||||||TRAVEL|N||||N
20979|4588|2|34|4A3W|N|N|1218|Q_APPR|6|4|1056|53143|2021-05-16 05:32:00|5364|5364|1640.39|2021-05-21 00:00:00||2021-05-22 00:00:00||2021-05-16 05:55:00|2021-05-17 09:17:00|2021-05-17 09:17:00|FurSalon-WuZhen-Sevenннннн|Fur Salon-SEVENннннн|4637|4638|4771|4772|4746|N|||||||||||||||2021-05-16 05:55:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-07 08:51:00|N|1|||||||TRAVEL|N||||N
20980|4588|2|34|4A3X|N|N|1218|Q_APPR|6|4|1056|53145|2021-05-16 05:57:00|5804|5804|3579.83|2021-05-21 00:00:00||2021-05-23 00:00:00||2021-05-16 05:59:00|2021-05-17 09:16:00|2021-05-17 09:16:00|FurSalon-WuZhen-Andyннннн|FUR SALON-ANDYннннн|4637|4638|4771|4772|4746|N|||||||||||||||2021-05-16 05:59:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-15 09:42:00|N|1|||||||TRAVEL|N||||N
20981|4588|2|34|4A3Y|N|N|1218|Q_APPR|6|4|1056|53147|2021-05-16 06:00:00|3004|3004|2871.15|2021-05-20 00:00:00||2021-05-22 00:00:00||2021-05-16 06:02:00|2021-05-17 09:16:00|2021-05-17 09:16:00|FUR SALON-WUZHEN-BYRONA|FUR SALON|4637|4638|4771|4772|4746|N|||||||||||||||2021-05-16 06:02:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-07 07:07:00|N|1|||||||TRAVEL|N||||N
20982|4588|2|34|4A43|N|N|1218|Q_APPR|6|4|1056|53149|2021-05-16 06:03:00|3312|3312|2749.51|2021-05-20 00:00:00||2021-05-23 00:00:00||2021-05-16 06:05:00|2021-05-17 09:16:00|2021-05-17 09:16:00|FUR SALON-WUZHEN-Manfred|fur salon|4637|4638|4771|4772|4746|N|||||||||||||||2021-05-16 06:05:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-15 09:43:00|N|1|||||||TRAVEL|N||||N
20983|4588|2|34|4A44|N|N|1218|Q_APPR|6|4|1056|53151|2021-05-16 06:06:00|5734|5734|3875.96|2021-05-20 00:00:00||2021-05-22 00:00:00||2021-05-16 06:08:00|2021-05-17 09:16:00|2021-05-17 09:16:00|FUR SALON-WUZHEN-KIRAннннн|FUR SALON|4637|4638|4771|4772|4746|N|||||||||||||||2021-05-16 06:08:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-21 07:01:00|N|1|||||||TRAVEL|N||||N
20984|2435|2|34|4A46|N|N|1218|Q_APPR|5|4|1053|53153|2021-05-17 03:14:00|17200|17200|15565.05|2021-05-19 00:00:00||2021-05-21 00:00:00||2021-05-17 03:16:00|2021-05-19 01:14:00|2021-05-19 01:14:00|CD visit|CD visit|4637|4638|4822|4823|4746|N|||||||||||||||2021-05-17 03:16:00|N|N|N||1045||Y|Y|N|N||N|N|||2021-08-25 02:41:00|N|1|||||||TRAVEL|N||||N
20985|4580|2|34|4A47|N|N|1218|Q_APPR|5|4|1053|53154|2021-05-17 03:29:00|11900|11900|8242.27|2021-05-19 00:00:00||2021-05-21 00:00:00||2021-05-17 03:31:00|2021-05-17 03:50:00|2021-05-17 03:50:00|CD visit|CD visit|4637|4638|4822|4824|4746|N|||||||||||||||2021-05-17 03:31:00|N|N|N||1045||Y|Y|N|N||N|N|||2021-07-05 06:00:00|N|1|||||||TRAVEL|N||||N
20986|4528|2|34|4A49|N|N|1218|Q_APPR|5|4|1053|53156|2021-05-17 04:55:00|1600|1600|757.16|2021-05-18 00:00:00||2021-05-18 00:00:00||2021-05-17 04:57:00|2021-05-19 01:14:00|2021-05-19 01:14:00|0518_Nanjing Visit|business trip|4637|4638|4759|4760|4746|N|||||||||||||||2021-05-17 04:57:00|N|N|N||1043||Y|Y|N|N||N|N|||2022-01-11 04:43:00|N|0|||||||TRAVEL|N||||N
20987|4519|2|34|4A4A|N|N|1218|Q_APPR|6|4|1056|53158|2021-05-17 06:16:00|480|480|256.69|2021-05-17 00:00:00||2021-05-17 00:00:00||2021-05-17 06:25:00|2021-05-18 09:29:00|2021-05-18 09:29:00|Domestic trip- Xi'an|For Ian business trip from May, 13th- 14th.|4637|4638|4793|4794|4746|N|||||||||||||||2021-05-17 06:25:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-06-22 10:38:00|N|0|||||||TRAVEL|N||||N
20989|4537|2|34|4A4D|N|N|1218|Q_APPR|6|4|1056|53162|2021-05-17 07:27:00|2524|2524|2130.2|2021-05-22 00:00:00||2021-05-23 00:00:00||2021-05-17 07:39:00|2021-05-17 09:17:00|2021-05-17 09:17:00|Fur Salon-Joker|Fur Salon-Joker|4637|4638|4866|4867|4746|N|||||||||||||||2021-05-17 07:39:00|N|N|N||1047||Y|Y|N|N||N|N|||2021-07-07 02:42:00|N|1|||||||TRAVEL|N||||N
