AR-A|AR|N||2005-06-21 15:47:00|
AR-B|AR|N||2005-06-21 15:47:00|
AR-C|AR|N||2005-06-21 15:47:00|
AR-D|AR|N||2005-06-21 15:47:00|
AR-E|AR|N||2005-06-21 15:47:00|
AR-F|AR|N||2005-06-21 15:47:00|
AR-G|AR|N||2005-06-21 15:47:00|
AR-H|AR|N||2005-06-21 15:47:00|
AR-J|AR|N||2005-06-21 15:47:00|
AR-K|AR|N||2005-06-21 15:47:00|
AR-L|AR|N||2005-06-21 15:47:00|
AR-M|AR|N||2005-06-21 15:47:00|
AR-N|AR|N||2005-06-21 15:47:00|
AR-P|AR|N||2005-06-21 15:47:00|
AR-Q|AR|N||2005-06-21 15:47:00|
AR-R|AR|N||2005-06-21 15:47:00|
AR-S|AR|N||2005-06-21 15:47:00|
AR-T|AR|N||2005-06-21 15:47:00|
AR-U|AR|N||2005-06-21 15:47:00|
AR-V|AR|N||2005-06-21 15:47:00|
AR-W|AR|N||2005-06-21 15:47:00|
AR-X|AR|N||2005-06-21 15:47:00|
AR-Y|AR|N||2005-06-21 15:47:00|
AR-Z|AR|N||2005-06-21 15:47:00|
AT-1|AT|N||2021-10-05 23:58:00|
AT-2|AT|N||2021-10-05 23:58:00|
AT-3|AT|N||2021-10-05 23:58:00|
AT-4|AT|N||2021-10-05 23:58:00|
AT-5|AT|N||2021-10-05 23:58:00|
AT-6|AT|N||2021-10-05 23:58:00|
AT-7|AT|N||2021-10-05 23:58:00|
AT-8|AT|N||2021-10-05 23:58:00|
AT-9|AT|N||2021-10-05 23:58:00|
AU-ACT|AU|N||2005-06-21 15:47:00|
AU-NSW|AU|N||2005-06-21 15:47:00|
AU-NT|AU|N||2005-06-21 15:47:00|
AU-QLD|AU|N||2005-06-21 15:47:00|
AU-SA|AU|N||2005-06-21 15:47:00|
AU-TAS|AU|N||2005-06-21 15:47:00|
AU-VIC|AU|N||2005-06-21 15:47:00|
AU-WA|AU|N||2005-06-21 15:47:00|
AZ-ABS|AZ|N||2023-09-08 18:21:00|
AZ-AGA|AZ|N||2023-09-08 18:21:00|
AZ-AGC|AZ|N||2023-09-08 18:21:00|
AZ-AGM|AZ|N||2023-09-08 18:21:00|
AZ-AGS|AZ|N||2023-09-08 18:21:00|
AZ-AGU|AZ|N||2023-09-08 18:21:00|
AZ-AST|AZ|N||2023-09-08 18:21:00|
AZ-BA|AZ|N||2023-09-08 18:21:00|
AZ-BAB|AZ|N||2023-09-08 18:21:00|
AZ-BAL|AZ|N||2023-09-08 18:21:00|
AZ-BAR|AZ|N||2023-09-08 18:21:00|
AZ-BEY|AZ|N||2023-09-08 18:21:00|
AZ-BIL|AZ|N||2023-09-08 18:21:00|
AZ-CAB|AZ|N||2023-09-08 18:21:00|
AZ-CAL|AZ|N||2023-09-08 18:21:00|
AZ-CUL|AZ|N||2023-09-08 18:21:00|
AZ-DAS|AZ|N||2023-09-08 18:21:00|
AZ-FUZ|AZ|N||2023-09-08 18:21:00|
AZ-GA|AZ|N||2023-09-08 18:21:00|
AZ-GAD|AZ|N||2023-09-08 18:21:00|
AZ-GOY|AZ|N||2023-09-08 18:21:00|
AZ-GYG|AZ|N||2023-09-08 18:21:00|
AZ-HAC|AZ|N||2023-09-08 18:21:00|
AZ-IMI|AZ|N||2023-09-08 18:21:00|
AZ-ISM|AZ|N||2023-09-08 18:21:00|
AZ-KAL|AZ|N||2023-09-08 18:21:00|
AZ-KAN|AZ|N||2023-09-08 18:21:00|
AZ-KUR|AZ|N||2023-09-08 18:21:00|
AZ-LA|AZ|N||2023-09-08 18:21:00|
AZ-LAC|AZ|N||2023-09-08 18:21:00|
AZ-LAN|AZ|N||2023-09-08 18:21:00|
AZ-LER|AZ|N||2023-09-08 18:21:00|
AZ-MAS|AZ|N||2023-09-08 18:21:00|
AZ-MI|AZ|N||2023-09-08 18:21:00|
AZ-NA|AZ|N||2023-09-08 18:21:00|
AZ-NEF|AZ|N||2023-09-08 18:21:00|
AZ-NV|AZ|N||2023-09-08 18:21:00|
