39359|2023-02-02 09:02:00|4608|Y|37601||213313|comment.report.simple|87нннннннннннннн||2023-02-02 09:02:00|4608|
39361|2023-02-02 10:01:00|4608|Y|37586||212819|comment.report.simple|нннннннннннннshare room)ннн1400н,нннннннннннн~||2023-02-02 10:01:00|4608|
39362|2023-02-02 10:26:00|4608|Y|37573||213387|comment.report.simple|730ннннннннннннннн||2023-02-02 10:26:00|4608|
39363|2023-02-03 12:29:00|2445|Y|37607||213717|comment.report.simple|Dear Alvin, ннннннннннннннннннннннн2023н3ннPetty Cashннннннннннн||2023-02-03 12:29:00|2445|
39364|2023-02-07 02:20:00|4608|N|37619||214345|comment.report.simple|нннннннннн;ннн1н1ннннннннннMUJIннннMOнT&CHANDONнннннннннннннннннннн||2023-02-17 08:23:00|4608|
39365|2023-02-07 02:40:00|4608|Y|37610||213848|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннн||2023-02-07 02:40:00|4608|
39366|2023-02-07 04:03:00|4608|Y|37614||214247|comment.report.simple|нннннннsupporting,нннннннvisaнннн||2023-02-07 04:03:00|4608|
39367|2023-02-07 04:24:00|4608|Y|37621||214211|comment.report.simple|ннннннннннннннн;ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн||2023-02-07 04:24:00|4608|
39368|2023-02-07 04:25:00|4608|Y|37627||214399|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн||2023-02-07 04:25:00|4608|
39369|2023-02-07 06:26:00|4608|Y|37624||214327|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн||2023-02-07 06:26:00|4608|
39370|2023-02-07 06:34:00|4608|N|37518||213751|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн||2023-02-09 11:17:00|4608|
39371|2023-02-07 06:37:00|4608|Y|37604|107112|213944|comment.entry.simple|ннннннннннн||2023-02-07 06:37:00|4608|
39372|2023-02-07 06:44:00|4608|Y|37604||213944|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн;ннннннннннннннннн||2023-02-07 06:44:00|4608|
39373|2023-02-07 07:37:00|4608|N|37593||214265|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн;нннннннннннннннннннн||2023-03-02 07:14:00|4608|
39374|2023-02-07 07:50:00|4608|N|37626||214381|comment.report.simple|fannymou&58;;SF1505727352312;;fannymou&58;;ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн;ннннннннннннннн||2023-02-17 08:29:00|4608|
39375|2023-02-08 03:09:00|4661|N|37645|||comment.report.simple|macau store visit||2023-04-20 10:41:00|4661|
39376|2023-02-08 04:14:00|4661|N|37646|107325||comment.entry.simple|the C-trip did not make the payment to hotel.||2023-02-09 06:37:00|4661|
39377|2023-02-09 11:17:00|2445|Y|37518||214863|comment.report.simple|Dear Angela, ннннннннннннннннннннннн3ннPetty Cashннннннннннн||2023-02-09 11:17:00|2445|
39378|2023-02-10 05:44:00|2406|Y|37664|107404||comment.entry.simple|нннAMEXнннннннннннн||2023-02-10 05:44:00|2406|
39379|2023-02-10 05:45:00|2406|Y|37664|107403||comment.entry.simple|AMEXннннннннннннннннн||2023-02-10 05:45:00|2406|
39380|2023-02-10 15:44:00|4643|Y|37667|107439||comment.entry.simple|нннн||2023-02-10 15:44:00|4643|
39381|2023-02-13 03:13:00|4608|Y|37315||206355|comment.report.simple|386нннннннннннннн;624.70нннннннннннннннн||2023-02-13 03:13:00|4608|
39382|2023-02-13 03:20:00|4608|Y|37641||215548|comment.report.simple|нннннннннннннннннн~||2023-02-13 03:20:00|4608|
39383|2023-02-13 03:33:00|4608|Y|37602||213962|comment.report.simple|ннн1н1ннннннннннMUJIннннMOнT&CHANDONннннннннннннннннннннннннннннн||2023-02-13 03:33:00|4608|
39385|2023-02-13 05:43:00|4524|Y|37672|107462||comment.entry.simple|нннннннн||2023-02-13 05:43:00|4524|
39386|2023-02-13 06:25:00|4528|Y|37674|107473||comment.entry.simple|Opening preparation||2023-02-13 06:25:00|4528|
39387|2023-02-14 10:52:00|2445|Y|37682|107521||comment.entry.simple|Y2023 Office Red Pocket Standard has been updated, so there are two cash advance applications. For red pocket offset, system tips that we could choose item of "staff red pocket" only once. So, for the second offset request, we choose this nature. Thank.||2023-02-14 10:52:00|2445|
39388|2023-02-14 11:26:00|2445|Y|37608||213735|comment.report.simple|Hi dear, нннннннннннннннннннн||2023-02-14 11:26:00|2445|
39389|2023-02-15 04:46:00|4600|Y|37685|107531||comment.entry.simple|Covid Test Korea||2023-02-15 04:46:00|4600|
39390|2023-02-15 04:48:00|4600|Y|37685|107532||comment.entry.simple|Antigenic Test HK 342 HKD;Prenetic Test HK 240 HKD||2023-02-15 04:48:00|4600|
39391|2023-02-15 07:03:00|4608|Y|37675||215754|comment.report.simple|ннннннннн~||2023-02-15 07:03:00|4608|
39393|2023-02-15 11:06:00|2431|Y|37689|107551||comment.entry.simple|The negotiated price is not available on Ctrip||2023-02-15 11:06:00|2431|
39394|2023-02-16 03:54:00|4509|Y|37692|107567||comment.entry.simple|can only pay offline at hotel||2023-02-16 03:54:00|4509|
39395|2023-02-16 07:42:00|2426|Y|37698|107620||comment.entry.simple|Much cheaper than ctrip||2023-02-16 07:42:00|2426|
39396|2023-02-17 08:04:00|4608|Y|37637||215424|comment.report.simple|нннннн1980ннннн;18628206737ннннннннннннннн,нннннн||2023-02-17 08:04:00|4608|
39397|2023-02-17 08:23:00|4608|Y|37619||214687|comment.report.simple|ннHRннннннннн3ннннннннн~||2023-02-17 08:23:00|4608|
39398|2023-02-17 08:29:00|4608|Y|37626||215626|comment.report.simple|нннннннннннннннннн||2023-02-17 08:29:00|4608|
39399|2023-02-17 08:36:00|4608|Y|37623||215104|comment.report.simple|ннннннннннннннннннннннннн;нннннннннннннннн~||2023-02-17 08:36:00|4608|
39400|2023-02-17 08:38:00|4630|Y|37703|||comment.report.simple|Sabrina BT Chongqing||2023-02-17 08:38:00|4630|
