2008|2010|2007|2012|CES_SAE|AP/GL CES Standard Extract|2005-06-21 08:55:00||;|Y||Y|Y||yyyyMMddHHmmss|yyyy-MM-dd|N| |.||CRLF|N|||N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
2010|2010|2009|2012|cash|Employee Payable Data Entry|2005-06-21 08:55:00|extract||N||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.|15|CRLF|N|0|Y|N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
2011|2010|2009|2012|payroll|Payroll Interface|2005-06-21 08:55:00|extract|,|Y||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.||CRLF|N|||N|2|U|Y|S|A|Y||2005-09-14 18:13:00|N|N||NORM|
2012|2010|2009|2012|cash_gl|SAE_CASH|2005-06-21 08:55:00|extract|;|Y||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.||CRLF|N|||N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
2014|2010|2013|2012|creditcard|Paid to Credit Card Data Entry|2005-06-21 08:55:00|extract||N||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.|15|CRLF|N|0|Y|N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
2015|2010|2013|2012|IBCP|Credit Card Remittance File|2005-06-21 08:55:00|extract||N||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.|10|CRLF|N|0|Y|N|2|U|Y|S|S|Y||2005-10-04 15:35:00|N|N||NORM|
2016|2010|2013|2012|creditcard_gl|SAE_CARD|2005-06-21 08:55:00|extract|;|Y||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.||CRLF|N|||N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
2018|2010|2017|2012|creditcard|Paid to Credit Card Data Entry|2005-06-21 08:55:00|extract||N||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.|15|CRLF|N|0|Y|N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
2019|2010|2017|2012|IBCP|Credit Card Remittance File|2005-06-21 08:55:00|extract||N||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.|10|CRLF|N|0|Y|N|2|U|Y|S|S|Y||2005-10-04 15:30:00|N|N||NORM|
2020|2010|2017|2012|creditcard_gl|SAE_CARD|2005-06-21 08:55:00|extract|;|Y||Y|Y|txt|yyyyMMddHHmmss|yyyy-MM-dd|N| |.||CRLF|N|||N|2|U|Y|S|A|N||2005-09-14 18:13:00|N|N||NORM|
