1|8|RUNNING|2017-09-30 10:09:00||2017-09-30 10:09:00
2|44|SUCCESS|2017-09-30 10:09:00||2017-09-30 10:10:00
3|8|RUNNING|2017-10-01 10:11:00||2017-10-01 10:11:00
4|44|SUCCESS|2017-10-01 10:11:00||2017-10-01 10:12:00
5|8|RUNNING|2017-10-02 10:11:00||2017-10-02 10:11:00
6|44|SUCCESS|2017-10-02 10:12:00||2017-10-02 10:13:00
7|8|RUNNING|2017-10-03 10:11:00||2017-10-03 10:11:00
8|44|SUCCESS|2017-10-03 10:12:00||2017-10-03 10:17:00
9|8|RUNNING|2017-10-04 10:12:00||2017-10-04 10:12:00
10|44|SUCCESS|2017-10-04 10:12:00||2017-10-04 10:13:00
11|8|RUNNING|2017-10-05 10:11:00||2017-10-05 10:11:00
12|44|SUCCESS|2017-10-05 10:11:00||2017-10-05 10:12:00
13|8|RUNNING|2017-10-06 10:12:00||2017-10-06 10:12:00
14|44|SUCCESS|2017-10-06 10:12:00||2017-10-06 10:14:00
15|8|RUNNING|2017-10-07 10:11:00||2017-10-07 10:11:00
16|44|SUCCESS|2017-10-07 10:11:00||2017-10-07 10:12:00
17|8|RUNNING|2017-10-08 10:11:00||2017-10-08 10:11:00
18|44|SUCCESS|2017-10-08 10:11:00||2017-10-08 10:11:00
19|8|RUNNING|2017-10-09 10:11:00||2017-10-09 10:11:00
20|44|SUCCESS|2017-10-09 10:11:00||2017-10-09 10:12:00
21|8|RUNNING|2017-10-10 10:12:00||2017-10-10 10:12:00
22|44|SUCCESS|2017-10-10 10:12:00||2017-10-10 10:14:00
23|8|RUNNING|2017-10-11 10:12:00||2017-10-11 10:12:00
24|44|SUCCESS|2017-10-11 10:12:00||2017-10-11 10:13:00
25|8|RUNNING|2017-10-12 10:12:00||2017-10-12 10:12:00
26|44|SUCCESS|2017-10-12 10:12:00||2017-10-12 10:13:00
27|8|RUNNING|2017-10-13 10:12:00||2017-10-13 10:12:00
28|44|SUCCESS|2017-10-13 10:12:00||2017-10-13 10:13:00
29|8|RUNNING|2017-10-14 10:11:00||2017-10-14 10:11:00
30|44|SUCCESS|2017-10-14 10:11:00||2017-10-14 10:11:00
31|8|RUNNING|2017-10-15 15:10:00||2017-10-15 15:10:00
32|44|SUCCESS|2017-10-15 15:11:00||2017-10-15 15:11:00
33|8|RUNNING|2017-10-16 10:13:00||2017-10-16 10:13:00
34|44|SUCCESS|2017-10-16 10:14:00||2017-10-16 10:15:00
35|8|RUNNING|2017-10-17 10:13:00||2017-10-17 10:13:00
36|44|SUCCESS|2017-10-17 10:14:00||2017-10-17 10:15:00
37|8|RUNNING|2017-10-18 10:14:00||2017-10-18 10:14:00
38|44|SUCCESS|2017-10-18 10:14:00||2017-10-18 10:14:00
39|8|RUNNING|2017-10-19 10:14:00||2017-10-19 10:14:00
40|44|SUCCESS|2017-10-19 10:14:00||2017-10-19 10:14:00
41|8|RUNNING|2017-10-20 10:11:00||2017-10-20 10:11:00
42|44|SUCCESS|2017-10-20 10:11:00||2017-10-20 10:13:00
43|8|RUNNING|2017-10-21 10:10:00||2017-10-21 10:10:00
44|44|SUCCESS|2017-10-21 10:10:00||2017-10-21 10:11:00
45|8|RUNNING|2017-10-22 10:13:00||2017-10-22 10:13:00
46|44|SUCCESS|2017-10-22 10:13:00||2017-10-22 10:13:00
47|8|RUNNING|2017-10-23 10:15:00||2017-10-23 10:15:00
48|44|SUCCESS|2017-10-23 10:15:00||2017-10-23 10:17:00
49|8|RUNNING|2017-10-24 10:20:00||2017-10-24 10:20:00
