ADV_SERVICES|N|na|||2013-02-23 03:54:00|Y|Y
AGCLOG_CLEANUP|N|com.concur.services.agency.CleanUpAgencyProposalLogService|||2013-12-14 05:14:00|Y|N
AGENCY_PROPOSAL|N|com.concur.services.agency.AgencyProposalPollingService|||2012-08-18 01:53:00|Y|N
ANALYSIS|Y|com.concur.services.extract.ConcurExtractService|extract||2013-02-23 03:54:00|Y|Y
ANOMALY|Y|com.concur.services.anomaly.ConcurAnomalyService|||2012-08-18 01:53:00|Y|N
APPROVAL_EXPIRE|N|com.concur.services.approvalexpiration.ConcurApprovalTimeoutService|||2006-04-13 19:26:00|Y|N
ARCHIVE|Y|com.concur.services.archive.ConcurArchiveService|||2013-02-23 03:54:00|Y|Y
ATTENDEE|Y|com.concur.services.importer.ConcurImporterService|import||2013-02-23 03:54:00|Y|Y
AUTH_REQ_EXPIRE|N|com.concur.services.authreqexpiration.ConcurARExpireService|||2008-03-14 17:20:00|Y|N
BILLING|N|com.concur.services.billingextract.ConcurBillingExtractService|||2013-02-23 03:54:00|Y|Y
BRZ_PRVSNNG|N|com.concur.services.breeze.BreezeProvisioningService|||2010-04-16 20:15:00|Y|N
CARD_FEED|Y|com.concur.services.importer.ConcurImporterService|import||2013-02-23 03:54:00|Y|Y
CAW_CLEAN_UP|N|com.concur.services.auditworkbench.CawCleanUpService|||2012-03-24 01:57:00|Y|N
CAW_FIRE_RULES|N|com.concur.services.auditworkbench.CawFireRoutingRulesService|||2012-04-21 03:28:00|Y|N
CC_PRVR_VALID|N|com.concur.services.baml.CardProviderValidationService|cardprovidervalidation||2013-10-19 03:34:00|Y|N
CONSOLIDATION|N|com.concur.services.consolidation.ConcurConsolidationService|||2006-04-13 19:26:00|Y|N
CQ_EMPL_EXPORT|Y|com.concur.services.integration.CliqbookUserSyncService|||2017-07-12 07:57:00|Y|N
CQ_EXPORT_DAILY|Y|com.concur.services.integration.CliqbookUserSyncService|||2009-08-14 20:14:00|Y|N
CTE_TASK|N|com.concur.midtier.importexport.DefaultImportService|||2009-03-20 20:39:00|N|N
CWT_IMPORTER|N|com.concur.services.importer.clipper.ClipperImporterService|||2013-10-19 03:34:00|Y|Y
