1|EMPINFO|||N|Y||2005-06-21 15:49:00|N
2|RPTINFO|||N|Y||2005-06-21 15:49:00|N
3|ENTRYINFO|||N|Y||2005-06-21 15:49:00|N
4|ENTRYINFO|||N|Y||2005-06-21 15:49:00|N
5|ENTRYINFO|||N|Y||2005-06-21 15:50:00|N
6|ENTRYINFO|||N|Y||2005-06-21 15:50:00|N
7|ENTRYINFO|||N|Y||2005-06-21 15:50:00|N
8|ENTRYINFO|||N|Y||2005-06-21 15:50:00|N
9|ALLOCINFO|||N|Y||2005-06-21 15:51:00|N
10|TRAVELREQINFO|||N|Y||2005-06-21 15:51:00|N
11|TRAVELREQENTRYINFO|||N|Y||2005-06-21 15:51:00|N
12|TRAVELREQENTRYINFO|||N|Y||2005-06-21 15:51:00|N
13|TRAVELREQENTRYINFO|||N|Y||2005-06-21 15:51:00|N
14|TRAVELREQENTRYINFO|||N|Y||2005-06-21 15:51:00|N
15|PMT_HDRINFO|||N|Y||2005-06-21 15:52:00|N
16|PMT_LINEITEMINFO|||N|Y||2005-06-21 15:52:00|N
17|PMT_ALLOCINFO|||N|Y||2005-06-21 15:52:00|N
18|PMT_VENDOR|||N|Y||2005-06-21 15:52:00|N
1019|ENTRYINFO|||N|Y||2005-06-21 15:55:00|N
1020|ATTNINFO|DATNF||N|Y||2011-12-17 21:45:00|N
1021|EXPLISTDTL|||N|Y||2009-04-17 20:08:00|N
1022|CARINFO|||N|Y||2010-02-19 21:13:00|N
1024|CARINFO|||N|N||2010-02-19 21:13:00|N
1025|CARINFO|||N|N||2010-02-19 21:13:00|N
1027|CARINFO|||N|N||2010-02-19 21:13:00|N
1028|REQINFO|||N|Y||2010-08-21 08:48:00|N
1029|REQ_SEG_AIRFR|||N|Y||2010-08-21 08:49:00|N
1030|REQ_SEG_CARRT|||N|Y||2010-08-21 08:49:00|N
1031|REQ_SEG_HOTEL|||N|Y||2010-08-21 08:49:00|N
1032|REQ_SEG_LIMOF|||N|Y||2010-08-21 08:49:00|N
1033|REQ_SEG_RAILF|||N|Y||2010-08-21 08:49:00|N
1034|REQ_SEG_TAXIF|||N|Y||2010-08-21 08:49:00|N
1035|REQ_SEG_MISC|||N|Y||2010-08-21 08:49:00|N
1036|REQ_SEG_PARKG|||N|Y||2010-08-21 08:49:00|N
1037|ENTRYINFO|||Y|N||2012-10-22 10:23:00|N
1038|ENTRYINFO|||Y|N||2012-10-22 11:16:00|N
1039|ENTRYINFO|||N|N||2010-12-03 14:00:00|N
1040|ENTRYINFO|||N|N||2010-12-03 14:06:00|N
1041|ENTRYINFO|||N|N||2010-12-03 14:12:00|N
1042|ENTRYINFO|||N|N||2010-12-03 14:16:00|N
1043|ENTRYINFO|||Y|N||2012-10-22 11:16:00|N
1044|ENTRYINFO|||N|N||2010-12-03 15:27:00|N
1045|REQ_ALLOCINFO|||N|Y||2010-12-18 04:20:00|N
1046|REQXCTINFO|||N|Y||2010-12-18 04:20:00|N
1047|ATNLISTDTL|DATLF||N|Y||2011-12-17 21:45:00|N
1048|RPTINFO|||N|Y||2011-02-26 03:38:00|N
1049|RPTINFO|||N|Y||2011-02-26 03:38:00|N
1050|REQ_SEG_DININ|||N|Y||2011-03-19 02:58:00|N
1051|REQ_SEG_EVENT|||N|Y||2011-03-19 02:58:00|N
1052|PO_HEADER|||N|Y||2011-03-19 02:58:00|N
1053|PO_LINE_ITEM|||N|Y||2011-03-19 02:58:00|N
1054|ENTRYINFO|||N|N||2011-03-25 15:04:00|N
1055|ENTRYINFO|||N|N||2011-03-25 15:05:00|N
1056|ENTRYINFO|||Y|N||2012-10-22 10:26:00|N
1057|ENTRYINFO|||Y|N||2012-10-22 10:27:00|N
1058|ENTRYINFO|||Y|N||2012-10-22 10:26:00|N
1059|ENTRYINFO|||N|N||2011-03-25 16:02:00|N
1060|ENTRYINFO|||N|N||2011-03-25 16:03:00|N
1061|ENTRYINFO|||Y|N||2011-03-25 16:04:00|N
1062|ENTRYINFO|||N|N||2011-03-25 16:05:00|N
1063|ENTRYINFO|||Y|N||2011-03-28 15:07:00|N
1064|ENTRYINFO|||N|N||2011-03-28 15:07:00|N
1065|ENTRYINFO|||Y|N||2012-10-22 10:24:00|N
1066|ENTRYINFO|||Y|N||2012-10-22 10:27:00|N
1067|ENTRYINFO|||Y|N||2012-10-22 10:25:00|N
1068|ENTRYINFO|||N|N||2011-03-31 08:57:00|N
1069|REQ_ENTRYINFO|||N|Y||2011-04-16 04:10:00|N
1070|ENTRYINFO|||N|N||2011-05-19 15:20:00|N
1071|ENTRYINFO|||Y|N||2011-05-26 10:55:00|N
1072|ENTRYINFO|||Y|N||2012-10-22 11:17:00|N
1073|ENTRYINFO|||Y|N||2012-10-22 11:16:00|N
1074|ENTRYINFO|||N|N||2011-05-23 15:22:00|N
1075|ATTNINFO|||N|N||2011-05-24 14:23:00|N
1076|ENTRYINFO|||Y|N||2012-10-22 11:16:00|N
1077|ENTRYINFO|||Y|N||2012-10-22 11:16:00|N
1078|ENTRYINFO|||Y|N||2012-10-22 11:16:00|N
1079|PO_ALLOCATION|||N|Y||2011-06-18 03:48:00|N
1080|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1081|ENTRYINFO|||Y|N||2012-10-22 10:30:00|N
1082|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1083|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1084|ENTRYINFO|||Y|N||2012-10-24 11:45:00|N
1085|ENTRYINFO|||Y|N||2012-10-22 10:30:00|N
1086|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1087|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1088|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1089|ENTRYINFO|||Y|N||2012-10-22 14:01:00|N
1091|REQ_SEG_CUSTOM|||N|Y||2011-10-22 01:49:00|N
1092|ENTRYINFO|||Y|N||2012-10-24 11:45:00|N
1093|ENTRYINFO|||Y|N||2012-10-24 11:44:00|N
1094|ENTRYINFO|||Y|N||2011-11-10 15:09:00|N
1095|ENTRYINFO|||Y|N||2012-10-23 09:38:00|N
1096|ENTRYINFO|||Y|N||2012-10-23 08:32:00|N
1097|ENTRYINFO|||Y|N||2012-10-23 08:32:00|N
1098|ENTRYINFO|||Y|N||2012-10-23 09:38:00|N
1099|REQ_CAINFO|||N|Y||2011-11-19 02:34:00|N
1100|ENTRYINFO|||Y|N||2011-12-06 16:58:00|N
1101|ENTRYINFO|||Y|N||2011-12-06 17:18:00|N
1102|ENTRYINFO|||Y|N||2012-10-24 11:39:00|N
1103|ATTNINFO|HATNF||N|Y||2011-12-17 05:38:00|N
1104|ENTRYINFO|||Y|N||2012-10-23 09:38:00|N
1105|ENTRYINFO|||Y|N||2012-10-23 09:38:00|N
1106|ENTRYINFO|||Y|N||2012-10-24 11:39:00|N
1107|ENTRYINFO|||Y|N||2012-10-24 11:39:00|N
1108|ENTRY_TAX_INFO|||N|Y||2012-05-19 01:32:00|N
1109|ENTRYINFO|||Y|N||2012-10-22 10:25:00|N
1110|ENTRYINFO|||Y|N||2012-10-22 10:25:00|N
1111|ENTRYINFO|||Y|N||2012-10-22 10:25:00|N
1113|RPTINFO|||N|Y||2012-07-14 02:05:00|N
1114|RPTINFO|||N|Y||2012-07-14 02:05:00|N
1115|ENTRYINFO|||N|N||2012-08-02 09:19:00|N
1116|ENTRYINFO|||N|N||2012-08-30 10:55:00|N
1117|ENTRY_TAX_INFO|||N|N||2012-10-22 09:37:00|N
1118|ENTRY_TAX_INFO|||N|N||2012-10-22 09:37:00|N
1119|ENTRY_TAX_INFO|||N|N||2012-10-22 09:37:00|N
1120|ENTRY_TAX_INFO|||N|N||2012-10-22 09:37:00|N
1121|ENTRY_TAX_INFO|||N|N||2012-10-22 09:37:00|N
1122|ENTRY_TAX_INFO|||N|N||2012-10-22 09:37:00|N
1123|ENTRY_TAX_INFO|||N|N||2012-10-22 09:38:00|N
1124|ENTRY_TAX_INFO|||N|N||2012-10-22 10:40:00|N
1125|ENTRY_TAX_INFO|||N|N||2012-10-22 10:44:00|N
1126|ENTRY_TAX_INFO|||N|N||2012-10-22 10:48:00|N
