1000|N|N||2010-11-19 11:36:00|N
1001|N|N||2010-11-19 11:37:00|N
1002|N|N||2010-11-19 11:37:00|N
1003|N|N||2010-11-19 11:38:00|N
1004|N|N||2010-12-03 14:22:00|N
1005|N|N||2010-12-03 15:13:00|N
1006|N|N||2010-12-03 15:40:00|N
1007|N|N||2011-02-14 13:20:00|N
1008|N|N||2011-02-14 14:59:00|N
1009|N|N||2011-02-14 15:00:00|N
1010|N|N||2011-02-14 15:01:00|N
1011|N|N||2011-02-14 15:02:00|N
1012|N|Y||2015-06-08 21:10:00|N
1013|N|N||2011-03-25 16:44:00|N
1014|N|N||2011-03-30 16:56:00|N
1015|N|N||2011-04-05 10:19:00|N
1016|N|N||2011-05-09 10:07:00|N
1017|N|N||2011-05-09 10:09:00|N
1018|N|N||2011-08-01 08:47:00|N
1019|N|N||2011-08-01 08:50:00|N
1020|N|N||2011-08-01 08:51:00|N
1021|N|N||2011-08-01 10:02:00|N
1022|N|N||2011-08-01 10:05:00|N
1023|N|N||2011-08-01 10:06:00|N
1024|N|N||2011-08-01 10:10:00|N
1025|N|N||2011-09-22 10:59:00|N
1026|N|N||2011-10-27 09:42:00|N
1027|N|N||2011-10-27 10:33:00|N
1028|N|N||2011-10-27 10:33:00|N
1029|N|N||2011-11-10 12:25:00|N
1030|N|N||2011-11-10 12:32:00|N
1031|N|N||2011-11-16 16:28:00|N
1032|N|N||2011-12-06 16:39:00|N
1033|N|Y||2012-01-10 14:31:00|N
1034|N|N||2012-02-28 17:21:00|N
1035|N|N||2012-02-28 17:27:00|N
1036|N|N||2012-05-22 11:37:00|N
1037|N|N||2012-05-22 15:13:00|N
1038|N|N||2012-05-22 15:32:00|N
1039|N|N||2012-11-30 11:08:00|N
1040|N|N||2013-02-15 15:11:00|N
1041|N|N||2013-03-05 15:55:00|N
1042|N|N||2013-05-14 09:27:00|N
1043|N|N||2013-05-17 01:31:00|N
1044|N|N||2013-05-17 02:03:00|N
1045|N|N||2013-05-17 08:51:00|N
1046|N|N||2013-06-19 16:06:00|N
1047|N|N||2014-01-03 11:33:00|N
1048|N|N||2014-12-15 10:42:00|N
1049|N|N||2015-10-12 20:31:00|N
1050|N|N||2017-05-30 16:19:00|N
1051|N|N||2017-07-26 08:55:00|N
1052|N|N||2017-07-28 07:18:00|N
1053|N|N||2017-08-02 07:20:00|N
1054|N|N||2017-08-07 08:42:00|N
1055|N|N||2017-08-07 09:55:00|N
1056|N|N||2017-08-15 11:49:00|N
1057|N|N||2017-09-25 11:36:00|N
1058|N|N||2017-09-25 11:56:00|N
COMC|N|N||2014-08-23 03:34:00|N
CONF|N|N||2005-06-21 15:47:00|N
SPNS|N|N||2015-03-14 02:12:00|N
TATT|Y|N||2008-06-19 18:38:00|N
VEND|Y|N||2005-06-21 15:49:00|N
