001|UNDEF|||2010-10-29 17:21:00
002|UNDEF|||2010-10-29 17:07:00
003|DINNR|||2010-06-19 06:30:00
004|DINNR|||2010-06-19 06:30:00
005|PARKG|||2010-06-19 06:30:00
006|BRKFT|||2010-06-19 06:30:00
007|UNDEF|||2010-06-19 06:30:00
008|LODNG|||2010-06-19 06:30:00
009|UNDEF|||2017-08-07 07:46:00
010|DINNR|||2010-06-19 06:30:00
011|DINNR|||2010-06-19 06:30:00
012|UNDEF|||2010-06-19 06:30:00
013|TAXIX|||2010-06-19 06:30:00
014|UNDEF|||2010-06-19 06:30:00
015|UNDEF|||2010-06-19 06:30:00
016|GASXX|||2010-06-19 06:30:00
017|UNDEF|||2010-06-19 06:30:00
018|UNDEF|||2010-06-19 06:30:00
019|BRKFT|||2010-06-19 06:30:00
020|UNDEF|||2010-06-19 06:30:00
021|UNDEF|||2010-10-29 17:21:00
022|DINNR|||2010-06-19 06:30:00
023|UNDEF|||2010-06-19 06:30:00
024|UNDEF|||2010-06-19 06:30:00
025|UNDEF|||2010-06-19 06:30:00
026|UNDEF|||2010-06-19 06:30:00
027|UNDEF|||2010-06-19 06:30:00
028|UNDEF|||2010-06-19 06:30:00
029|UNDEF|||2010-06-19 06:30:00
030|UNDEF|||2010-06-19 06:30:00
031|UNDEF|||2010-06-19 06:30:00
032|UNDEF|||2010-06-19 06:30:00
033|UNDEF|||2010-06-19 06:30:00
034|UNDEF|||2010-06-19 06:30:00
035|UNDEF|||2010-06-19 06:30:00
036|UNDEF|||2010-06-19 06:30:00
038|UNDEF|||2010-06-19 06:30:00
039|UNDEF|||2010-06-19 06:30:00
040|UNDEF|||2010-06-19 06:30:00
041|UNDEF|||2010-06-19 06:30:00
042|UNDEF|||2010-06-19 06:31:00
043|UNDEF|||2010-06-19 06:30:00
044|BRKFT|||2010-06-19 06:30:00
045|UNDEF|||2010-06-19 06:30:00
046|UNDEF|||2010-06-19 06:31:00
047|UNDEF|||2010-06-19 06:30:00
048|UNDEF|||2010-06-19 06:30:00
049|UNDEF|||2010-06-19 06:30:00
050|UNDEF|||2010-06-19 06:30:00
051|UNDEF|||2010-06-19 06:30:00
052|UNDEF|||2010-06-19 06:30:00
053|UNDEF|||2010-06-19 06:30:00
054|UNDEF|||2010-06-19 06:30:00
055|UNDEF|||2010-06-19 06:30:00
056|UNDEF|||2010-10-29 17:21:00
057|UNDEF|||2010-06-19 06:30:00
058|UNDEF|||2010-06-19 06:30:00
059|UNDEF|||2010-06-19 06:30:00
060|UNDEF|||2010-06-19 06:30:00
061|UNDEF|||2010-06-19 06:30:00
062|UNDEF|||2010-06-19 06:30:00
063|UNDEF|||2010-06-19 06:30:00
064|UNDEF|||2010-06-19 06:30:00
065|TAXIX|||2010-06-19 06:30:00
066|POSTG|||2010-06-19 06:31:00
067|UNDEF|||2010-06-19 06:30:00
068|UNDEF|||2010-06-19 06:30:00
069|UNDEF|||2010-06-19 06:30:00
070|UNDEF|||2010-06-19 06:30:00
071|UNDEF|||2010-06-19 06:30:00
072|DINNR|||2010-06-19 06:30:00
073|DINNR|||2010-06-19 06:30:00
074|UNDEF|||2010-06-19 06:30:00
0742|UNDEF|||2005-06-21 15:50:00
075|LODNG|||2010-06-19 06:30:00
076|DINNR|||2010-06-19 06:30:00
0763|UNDEF|||2005-06-21 15:50:00
077|UNDEF|||2010-06-19 06:30:00
078|UNDEF|||2010-06-19 06:30:00
0780|UNDEF|||2005-06-21 15:50:00
079|UNDEF|||2010-06-19 06:30:00
080|UNDEF|||2010-06-19 06:30:00
081|UNDEF|||2010-06-19 06:30:00
082|UNDEF|||2010-06-19 06:30:00
