2000|2002|263|1|N||2005-06-21 15:55:00
2001|2005|263|1|N||2005-06-21 15:55:00
2002|2008|263|1|N||2005-06-21 15:55:00
2003|2015|263|1|N||2005-07-05 13:59:00
2013|2027|263|1|N||2006-04-24 20:55:00
2014|2030|263|1|N||2006-04-24 20:55:00
2015|2033|263|1|N||2006-04-24 20:55:00
2023|2018|445|1|N||2007-05-04 16:17:00
2024|2018|568|2|N||2007-05-04 16:28:00
2033|2078|263|1|N||2007-10-10 15:50:00
2034|2081|263|1|N||2007-10-10 15:50:00
2035|2084|263|1|N||2007-10-10 15:50:00
2036|2089|765|2|N||2007-10-10 15:50:00
2037|2089|716|1|N||2007-10-10 15:50:00
2038|2096|928|1|N||2012-02-18 03:14:00
2039|2096|949|2|N||2012-02-18 03:14:00
2040|2096|1147|3|N||2012-03-24 01:57:00
2041|2096|1152|4|N||2012-03-24 01:57:00
2042|2096|1060|5|N||2012-06-23 01:46:00
2043|2099|263|1|N||2007-03-22 23:03:00
2044|2105|445|1|N||2007-06-08 00:21:00
2045|2105|568|2|N||2007-06-08 00:21:00
2046|2109|263|1|N||2007-06-08 00:21:00
2047|2112|263|1|N||2007-06-08 00:21:00
2048|2115|263|1|N||2007-06-08 00:21:00
2049|2122|765|2|N||2007-10-10 15:52:00
2050|2122|716|1|N||2007-10-10 15:52:00
2051|2143|565|2|N||2010-02-26 19:46:00
2052|2143|302|1|N||2010-02-26 19:46:00
2053|2146|897|2|N||2011-12-28 23:15:00
2054|2146|896|1|N||2011-12-28 23:15:00
2055|2150|928|1|N||2012-02-18 03:13:00
2056|2150|949|2|N||2012-02-18 03:13:00
2057|2150|1147|3|N||2012-03-24 01:56:00
2058|2150|1152|4|N||2012-03-24 01:56:00
2059|2150|1060|5|N||2012-06-23 01:44:00
2060|2165|928|1|N||2012-02-18 03:13:00
2061|2165|949|2|N||2012-02-18 03:13:00
2062|2165|1147|3|N||2012-03-24 01:56:00
2063|2165|1152|4|N||2012-03-24 01:56:00
2064|2165|1060|5|N||2012-06-23 01:44:00
2065|2198|263|1|N||2007-03-22 23:03:00
