2000|2002|0||2005-06-21 15:55:00|N|
2001|2002|1||2005-06-21 15:55:00|N|
2002|2002|2||2005-06-21 15:55:00|N|
2003|2003|0||2008-10-21 09:21:00|N|
2004|2004|0||2008-10-21 09:31:00|N|
2005|2004|1||2008-10-21 09:31:00|N|
2006|2004|2||2008-10-21 09:31:00|N|
2007|2004|3||2008-10-21 09:31:00|N|
2008|2004|4||2008-10-21 09:31:00|N|
2009|2004|5||2008-10-21 09:31:00|N|
2010|2004|6||2008-10-21 09:31:00|N|
2011|2004|7||2008-10-21 09:31:00|N|
2012|2004|8||2008-10-21 09:31:00|N|
2013|2005|0||2011-02-25 13:38:00|N|
2014|2005|1||2011-02-25 13:38:00|N|
2015|2005|2||2011-02-25 13:38:00|N|
2018|2005|5||2011-02-25 13:38:00|N|
2019|2005|6||2011-02-25 13:38:00|N|
2020|2005|7||2011-02-25 13:38:00|N|
2021|2005|8||2011-02-25 13:38:00|N|
2022|2006|0||2011-04-01 11:15:00|N|
2023|2006|1||2011-04-01 11:15:00|N|
2024|2005|9||2011-06-03 14:00:00|N|
2025|2005|10||2011-06-03 14:00:00|N|
2026|2007|0||2011-08-02 12:51:00|N|
2027|2007|1||2011-08-02 12:51:00|N|
2028|2007|2||2011-08-02 12:51:00|N|
2029|2007|3||2011-08-02 12:51:00|N|
2030|2007|4||2011-08-02 12:52:00|N|
2031|2007|5||2011-08-02 12:52:00|N|
2032|2007|6||2011-08-02 12:52:00|N|
2033|2007|7||2011-08-02 12:52:00|N|
2034|2007|8||2011-08-02 12:52:00|N|
2035|2007|9||2011-08-02 12:53:00|N|
2036|2007|10||2011-08-02 12:53:00|N|
2037|2008|0||2011-08-22 15:59:00|N|
2038|2008|1||2011-08-22 15:59:00|N|
2039|2011|0||2011-08-22 16:06:00|N|
2041|2014|1||2011-08-22 16:17:00|N|
2042|2014|2||2011-08-22 16:17:00|N|
2043|2016|0||2011-08-22 16:29:00|N|
2044|2017|0||2011-08-22 16:30:00|N|
2045|2017|1||2011-08-22 16:30:00|N|
2046|2022|0||2012-05-22 15:48:00|N|
2047|2022|1||2012-05-22 15:49:00|N|
2048|2022|2||2012-05-22 15:49:00|N|
2049|2022|3||2012-05-22 15:49:00|N|
2050|2022|4||2012-05-22 15:49:00|N|
2051|2022|5||2012-05-22 15:49:00|N|
2052|2022|6||2013-02-15 15:16:00|N|
2053|2023|0||2013-02-15 15:22:00|N|
2054|2027|0||2013-06-18 15:26:00|N|
2055|2027|1||2013-06-18 15:27:00|N|
2056|2027|2||2013-06-18 15:27:00|N|
2057|2029|0||2014-02-05 17:06:00|N|
2058|2040|0||2014-02-06 09:20:00|N|
2059|2041|0||2014-02-06 09:26:00|N|
2060|2042|0||2014-02-06 09:27:00|N|
2061|2043|0||2014-02-06 09:28:00|N|
2062|2044|0||2014-02-06 09:29:00|N|
2063|2045|0||2014-02-06 09:30:00|N|
2064|2046|0||2014-02-06 09:33:00|N|
2065|2046|1||2014-02-06 09:33:00|N|
2066|2046|2||2014-02-06 09:33:00|N|
2067|2046|3||2014-02-06 09:34:00|N|
2068|2046|4||2014-02-06 09:34:00|N|
2069|2046|5||2014-02-06 09:34:00|N|
2070|2046|6||2014-02-06 09:34:00|N|
2071|2046|7||2014-02-06 09:34:00|N|
2072|2046|8||2014-02-06 09:34:00|N|
2073|2046|9||2014-02-06 09:34:00|N|
2074|2046|10||2014-02-06 09:34:00|N|
2075|2014|3||2014-02-24 15:27:00|N|
2076|2047|0||2014-07-09 12:24:00|N|
2077|2048|0||2015-01-23 09:19:00|N|
2078|2049|0||2015-02-04 19:33:00|N|
2080|2049|1||2015-02-10 22:08:00|N|
2081|2050|0||2015-08-07 15:34:00|N|
2082|2052|0||2016-04-05 10:33:00|N|
2083|2053|0||2017-04-11 11:01:00|N|
2084|2053|1||2017-04-11 11:01:00|N|
2085|2053|2||2017-04-11 11:01:00|N|
