1|en|Y||||2005-06-21 15:49:00
2|en|Y||||2005-06-21 15:49:00
4|en|Y||||2005-06-21 15:49:00
5|en|Y||||2005-06-21 15:49:00
6|en|Y||||2005-06-21 15:49:00
7|en|Y||||2005-06-21 15:49:00
8|en|Y||||2005-06-21 15:49:00
10|en|Y||||2005-06-21 15:49:00
11|en|Y||||2005-06-21 15:49:00
13|en|Y||||2005-06-21 15:49:00
14|en|Y||||2005-06-21 15:49:00
15|en|Y||||2005-06-21 15:49:00
16|en|Y||||2005-06-21 15:49:00
17|en|Y|Employee Name|||2005-06-21 15:49:00
18|en|Y||||2005-06-21 15:49:00
20|en|Y||||2005-06-21 15:49:00
22|en|Y||||2005-06-21 15:49:00
23|en|Y|Report Currency|||2005-06-21 15:49:00
24|en|Y||||2005-06-21 15:49:00
25|en|Y||||2005-06-21 15:49:00
26|en|Y|Approval Status|||2005-06-21 15:49:00
27|en|Y|Payment Status|||2005-06-21 15:49:00
28|en|Y|Comment|||2005-06-21 15:49:00
29|en|Y||||2005-06-21 15:49:00
30|en|Y||||2005-06-21 15:49:00
31|en|Y||||2005-06-21 15:49:00
32|en|Y||||2005-06-21 15:49:00
33|en|Y||||2005-06-21 15:49:00
34|en|Y||||2005-06-21 15:49:00
35|en|Y||||2005-06-21 15:49:00
36|en|Y||||2005-06-21 15:49:00
37|en|Y||||2005-06-21 15:49:00
38|en|Y||||2005-06-21 15:49:00
39|en|Y||||2005-06-21 15:49:00
40|en|Y||||2005-06-21 15:49:00
41|en|Y||||2005-06-21 15:49:00
42|en|Y||||2005-06-21 15:49:00
43|en|Y|Expense Type|||2013-11-26 10:34:00
44|en|Y||||2005-06-21 15:49:00
45|en|Y||||2005-06-21 15:49:00
46|en|Y||||2005-06-21 15:49:00
47|en|Y|City of Purchase|||2011-09-15 09:52:00
48|en|Y||||2005-06-21 15:49:00
49|en|Y||||2005-06-21 15:49:00
50|en|Y||||2005-06-21 15:49:00
51|en|Y||||2005-06-21 15:49:00
52|en|Y||||2005-06-21 15:49:00
53|en|Y||||2005-06-21 15:49:00
54|en|Y||||2005-06-21 15:49:00
55|en|Y||||2005-06-21 15:49:00
56|en|Y||||2005-06-21 15:49:00
57|en|Y|Adjusted Amount|||2014-02-24 17:27:00
58|en|Y|Amount Approved|||2012-04-16 08:50:00
4521|en|Y||||2013-12-05 19:26:00
4522|en|Y|Invoice Group|||2013-12-05 19:32:00
4523|en|Y|Rental Type|||2014-01-03 11:40:00
4524|en|Y|Name|||2014-01-18 04:18:00
4525|en|Y|Cash Advance Amount|||2014-01-18 04:18:00
4526|en|Y|Transaction Cash Advance Currency|||2014-01-18 04:18:00
4527|en|Y|Purpose|||2014-01-18 04:18:00
4528|en|Y|Cash Advance Comment|||2014-01-18 04:18:00
4529|en|Y|Authorized By|||2014-01-18 04:19:00
4530|en|Y|Buyer Contact|||2014-01-18 04:19:00
4531|en|Y|Ship To Attn|||2014-01-18 04:19:00
4532|en|Y|Tax Id|||2014-01-18 04:19:00
4533|en|Y||||2014-02-04 19:38:00
4534|en|Y||||2014-02-04 19:38:00
4535|en|Y||||2014-02-04 19:38:00
4536|en|Y||||2014-02-04 19:38:00
4537|en|Y||||2014-02-04 19:38:00
4538|en|Y||||2014-02-04 19:38:00
4539|en|Y||||2014-02-04 19:38:00
4540|en|Y||||2014-02-04 19:38:00
4545|en|Y||||2014-02-24 17:24:00
